"filename", "language", "Markdown", "JSON", "CSS", "Vue", "JavaScript", "comment", "blank", "total"
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_11-06-48\details.md", "Markdown", -71, 0, 0, 0, 0, 0, -6, -77
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_11-06-48\diff-details.md", "Markdown", -10, 0, 0, 0, 0, 0, -6, -16
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_11-06-48\diff.md", "Markdown", -18, 0, 0, 0, 0, 0, -7, -25
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_11-06-48\results.json", "JSON", 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_11-06-48\results.md", "Markdown", -52, 0, 0, 0, 0, 0, -7, -59
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-05_12-37-16\details.md", "Markdown", 82, 0, 0, 0, 0, 0, 6, 88
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-05_12-37-16\diff-details.md", "Markdown", 27, 0, 0, 0, 0, 0, 6, 33
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-05_12-37-16\diff.md", "Markdown", 38, 0, 0, 0, 0, 0, 7, 45
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-05_12-37-16\results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-05_12-37-16\results.md", "Markdown", 62, 0, 0, 0, 0, 0, 7, 69
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\public\css\base.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\assets\css\base.css", "CSS", 0, 0, 142, 0, 0, 0, 44, 186
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\goTop\GoTop.vue", "Vue", 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\listTable\ListTable.vue", "Vue", 0, 0, 0, 7, 0, 0, 0, 7
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\main.js", "JavaScript", 0, 0, 0, 0, 1, 1, -1, 1
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\videoDetail\VideoDetail.vue", "Vue", 0, 0, 0, 2, 0, -4, 2, 0
"Total", "-", 58, 0, 143, 10, 1, -3, 46, 255
