"filename", "language", "JavaScript", "Vue", "comment", "blank", "total"
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\App.vue", "Vue", 0, 3, 0, 0, 3
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\assets\js\confirm.js", "JavaScript", 18, 0, 10, 2, 30
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\FooterMusic.vue", "Vue", 0, 7, 2, -1, 8
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\ItemList.vue", "Vue", 0, 0, 0, 1, 1
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\ItemListRecycle.vue", "Vue", 0, 123, 37, 8, 168
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\Item\ItemMusicList.vue", "Vue", 0, 7, 2, 1, 10
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\Login\index.vue", "Vue", 0, 20, 8, 3, 31
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\confirm\index.vue", "Vue", 0, 130, 3, 1, 134
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\cookie\index.js", "JavaScript", 0, 0, 2, 1, 3
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\home\IconList.vue", "Vue", 0, 9, 2, -2, 9
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\home\TopNav.vue", "Vue", 0, 11, 1, 0, 12
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\listTable\ListTable.vue", "Vue", 0, 4, 0, 0, 4
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\recycle-scroller\index.vue", "Vue", 0, 107, 4, 1, 112
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\recycle-scroller\index1.vue", "Vue", 0, 122, 37, 8, 167
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\tabs\index.vue", "Vue", 0, 71, 0, 3, 74
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\main.js", "JavaScript", 9, 0, 9, 7, 25
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\request\api\footer.js", "JavaScript", 4, 0, 2, 1, 7
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\request\api\video.js", "JavaScript", 3, 0, 1, 1, 5
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\request\index.js", "JavaScript", 23, 0, 3, 4, 30
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\router\index.js", "JavaScript", 10, 0, 4, 0, 14
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\store\index.js", "JavaScript", 10, 0, 3, -1, 12
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\Collection\collection.vue", "Vue", 0, 91, 2, 2, 95
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\InfoUser\InfoUser.vue", "Vue", 0, 1, 0, 0, 1
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\MusicList\musicList.vue", "Vue", 0, 2, 0, 1, 3
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\Ranking\ranking.vue", "Vue", 0, 11, 3, 2, 16
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\Recommend\Recommend.vue", "Vue", 0, 1, 0, 0, 1
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\videoDetail\VideoDetail.vue", "Vue", 0, 46, -33, -4, 9
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\vue.config.js", "JavaScript", 9, 0, 25, 2, 36
"Total", "-", 86, 766, 127, 41, 1020
