"filename", "language", "JSON", "JavaScript", "Vue", "Markdown", "CSS", "HTML", "JSON with Comments", "comment", "blank", "total"
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_15-03-26\details.md", "Markdown", 0, 0, 0, 71, 0, 0, 0, 0, 6, 77
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_15-03-26\diff-details.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 6, 17
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_15-03-26\diff.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 7, 26
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_15-03-26\results.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_15-03-26\results.md", "Markdown", 0, 0, 0, 52, 0, 0, 0, 0, 7, 59
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_16-14-52\details.md", "Markdown", 0, 0, 0, 71, 0, 0, 0, 0, 6, 77
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_16-14-52\diff-details.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 0, 6, 18
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_16-14-52\diff.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 7, 30
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_16-14-52\results.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_16-14-52\results.md", "Markdown", 0, 0, 0, 52, 0, 0, 0, 0, 7, 59
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_23-09-58\details.md", "Markdown", 0, 0, 0, 75, 0, 0, 0, 0, 6, 81
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_23-09-58\diff-details.md", "Markdown", 0, 0, 0, 15, 0, 0, 0, 0, 6, 21
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_23-09-58\diff.md", "Markdown", 0, 0, 0, 24, 0, 0, 0, 0, 7, 31
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_23-09-58\results.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_23-09-58\results.md", "Markdown", 0, 0, 0, 55, 0, 0, 0, 0, 7, 62
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_23-37-52\details.md", "Markdown", 0, 0, 0, 76, 0, 0, 0, 0, 6, 82
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_23-37-52\diff-details.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 6, 17
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_23-37-52\diff.md", "Markdown", 0, 0, 0, 22, 0, 0, 0, 0, 7, 29
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_23-37-52\results.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-01_23-37-52\results.md", "Markdown", 0, 0, 0, 55, 0, 0, 0, 0, 7, 62
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-05_12-37-16\details.md", "Markdown", 0, 0, 0, 82, 0, 0, 0, 0, 6, 88
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-05_12-37-16\diff-details.md", "Markdown", 0, 0, 0, 27, 0, 0, 0, 0, 6, 33
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-05_12-37-16\diff.md", "Markdown", 0, 0, 0, 38, 0, 0, 0, 0, 7, 45
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-05_12-37-16\results.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\.VSCodeCounter\2022-09-05_12-37-16\results.md", "Markdown", 0, 0, 0, 62, 0, 0, 0, 0, 7, 69
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\README.md", "Markdown", 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\babel.config.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 8, 12, 0, 20
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\package-lock.json", "JSON", 17808, 0, 0, 0, 0, 0, 0, 0, 1, 17809
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\package.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\public\css\base.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\public\index.html", "HTML", 0, 0, 0, 0, 0, 19, 0, 1, 1, 21
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\public\js\rem.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 3, 0, 18
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\App.vue", "Vue", 0, 0, 36, 0, 0, 0, 0, 0, 4, 40
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\assets\css\base.css", "CSS", 0, 0, 0, 0, 142, 0, 0, 0, 44, 186
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\assets\js\confirm.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 10, 2, 30
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\CardList.vue", "Vue", 0, 0, 80, 0, 0, 0, 0, 0, 4, 84
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\FooterMusic.vue", "Vue", 0, 0, 151, 0, 0, 0, 0, 9, 4, 164
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\HelloWorld.vue", "Vue", 0, 0, 57, 0, 0, 0, 0, 0, 3, 60
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\ItemList.vue", "Vue", 0, 0, 104, 0, 0, 0, 0, 6, 4, 114
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\ItemListRecycle.vue", "Vue", 0, 0, 123, 0, 0, 0, 0, 37, 8, 168
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\Item\ItemMusicList.vue", "Vue", 0, 0, 99, 0, 0, 0, 0, 5, 3, 107
