"filename", "language", "JSON", "Vue", "JavaScript", "Markdown", "HTML", "JSON with Comments", "comment", "blank", "total"
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\README.md", "Markdown", 0, 0, 0, 15, 0, 0, 0, 5, 20
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\babel.config.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 8, 12, 0, 20
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\package-lock.json", "JSON", 17808, 0, 0, 0, 0, 0, 0, 1, 17809
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\package.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\public\index.html", "HTML", 0, 0, 0, 0, 19, 0, 1, 1, 21
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\public\js\rem.js", "JavaScript", 0, 0, 15, 0, 0, 0, 3, 0, 18
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\App.vue", "Vue", 0, 33, 0, 0, 0, 0, 0, 4, 37
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\CardList.vue", "Vue", 0, 80, 0, 0, 0, 0, 0, 4, 84
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\FooterMusic.vue", "Vue", 0, 144, 0, 0, 0, 0, 7, 5, 156
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\HelloWorld.vue", "Vue", 0, 57, 0, 0, 0, 0, 0, 3, 60
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\ItemList.vue", "Vue", 0, 104, 0, 0, 0, 0, 6, 3, 113
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\Item\ItemMusicList.vue", "Vue", 0, 92, 0, 0, 0, 0, 3, 2, 97
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\Item\ItemMusicTop.vue", "Vue", 0, 234, 0, 0, 0, 0, 2, 4, 240
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\Item\MusicDetail.vue", "Vue", 0, 326, 0, 0, 0, 0, 16, 5, 347
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\Login\index.vue", "Vue", 0, 105, 0, 0, 0, 0, 0, 3, 108
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\NavBar\NavBar.vue", "Vue", 0, 81, 0, 0, 0, 0, 2, 5, 88
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\PClistCard\ListCard.vue", "Vue", 0, 121, 0, 0, 0, 0, 7, 8, 136
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\PClistTable\ListTable.vue", "Vue", 0, 184, 0, 0, 0, 0, 9, 18, 211
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\RecommendMusic\bgtop.vue", "Vue", 0, 30, 0, 0, 0, 0, 0, 3, 33
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\RecommendMusic\recommendInfo.vue", "Vue", 0, 92, 0, 0, 0, 0, 1, 13, 106
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\cookie\index.js", "JavaScript", 0, 0, 22, 0, 0, 0, 3, 4, 29
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\home\IconList.vue", "Vue", 0, 69, 0, 0, 0, 0, 0, 4, 73
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\home\MusicList.vue", "Vue", 0, 103, 0, 0, 0, 0, 1, 5, 109
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\home\SwiperTop.vue", "Vue", 0, 52, 0, 0, 0, 0, 6, 4, 62
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\home\TopNav.vue", "Vue", 0, 49, 0, 0, 0, 0, 0, 3, 52
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\infoUser\FollowsAndFolloweds\Followeds.vue", "Vue", 0, 105, 0, 0, 0, 0, 13, 9, 127
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\infoUser\FollowsAndFolloweds\Follows.vue", "Vue", 0, 84, 0, 0, 0, 0, 6, 7, 97
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\infoUser\FollowsAndFolloweds\TopNav.vue", "Vue", 0, 75, 0, 0, 0, 0, 5, 4, 84
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\infoUser\InfoUserContent.vue", "Vue", 0, 61, 0, 0, 0, 0, 1, 2, 64
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\infoUser\InfoUserSongs.vue", "Vue", 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\infoUser\InfoUserTop.vue", "Vue", 0, 65, 0, 0, 0, 0, 1, 2, 68
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\listCard\ListCard.vue", "Vue", 0, 122, 0, 0, 0, 0, 7, 8, 137
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\listTable\ListTable.vue", "Vue", 0, 201, 0, 0, 0, 0, 4, 16, 221
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\secondNavBar\SecondNavBar.vue", "Vue", 0, 87, 0, 0, 0, 0, 1, 5, 93
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\videoListCard\VideoListCard.vue", "Vue", 0, 192, 0, 0, 0, 0, 11, 11, 214
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\main.js", "JavaScript", 0, 0, 20, 0, 0, 0, 2, 3, 25
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\plugins\index.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 9
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\plugins\utils.js", "JavaScript", 0, 0, 49, 0, 0, 0, 13, 6, 68
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\request\api\home.js", "JavaScript", 0, 0, 16, 0, 0, 0, 10, 4, 30
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\request\api\infoUser.js", "JavaScript", 0, 0, 16, 0, 0, 0, 10, 1, 27
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\request\api\item.js", "JavaScript", 0, 0, 10, 0, 0, 0, 5, 3, 18
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\request\api\login.js", "JavaScript", 0, 0, 13, 0, 0, 0, 8, 1, 22
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\request\api\musicList.js", "JavaScript", 0, 0, 7, 0, 0, 0, 4, 1, 12
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\request\api\ranking.js", "JavaScript", 0, 0, 7, 0, 0, 0, 4, 1, 12
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\request\api\search.js", "JavaScript", 0, 0, 4, 0, 0, 0, 2, 4, 10
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\request\index.js", "JavaScript", 0, 0, 11, 0, 0, 0, 12, 3, 26
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\router\index.js", "JavaScript", 0, 0, 91, 0, 0, 0, 26, 4, 121
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\store\index.js", "JavaScript", 0, 0, 200, 0, 0, 0, 31, 3, 234
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\AboutView.vue", "Vue", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\HomeView\HomeView.vue", "Vue", 0, 23, 0, 0, 0, 0, 1, 4, 28
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\InfoUser\FollowAndFollowed\followeds.vue", "Vue", 0, 39, 0, 0, 0, 0, 12, 6, 57
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\InfoUser\FollowAndFollowed\follows.vue", "Vue", 0, 39, 0, 0, 0, 0, 5, 8, 52
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\InfoUser\InfoUser.vue", "Vue", 0, 241, 0, 0, 0, 0, 5, 2, 248
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\ItemMusic\ItemMusic.vue", "Vue", 0, 47, 0, 0, 0, 0, 8, 4, 59
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\Login\Login.vue", "Vue", 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\MusicList\musicList.vue", "Vue", 0, 143, 0, 0, 0, 0, 8, 2, 153
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\Ranking\ranking.vue", "Vue", 0, 341, 0, 0, 0, 0, 10, 2, 353
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\Recommend\Recommend.vue", "Vue", 0, 27, 0, 0, 0, 0, 0, 4, 31
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\Search\Search.vue", "Vue", 0, 104, 0, 0, 0, 0, 5, 4, 113
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\video\Video.vue", "Vue", 0, 38, 0, 0, 0, 0, 1, 2, 41
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\video\videoChildren\MvList.vue", "Vue", 0, 155, 0, 0, 0, 0, 18, 9, 182
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\video\videoChildren\VideoList.vue", "Vue", 0, 118, 0, 0, 0, 0, 25, 7, 150
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\vue.config.js", "JavaScript", 0, 0, 14, 0, 0, 0, 1, 0, 15
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\package-lock.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\package.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 1, 6
"Total", "-", 17870, 4299, 519, 15, 19, 8, 354, 268, 23352
